date,근로일수
2011-01,21.0
2011-02,21.3
2011-03,21.0
2011-04,21.7
2011-05,20.8
2011-06,21.6
2011-07,21.5
2011-08,21.1
2011-09,20.4
2011-10,20.8
2011-11,22.0
2011-12,22.2
2012-01,21.0
2012-02,21.1
2012-03,21.1
2012-04,21.0
2012-05,21.3
2012-06,20.8
2012-07,21.8
2012-08,21.2
2012-09,20.4
2012-10,21.0
2012-11,22.0
2012-12,20.1
2013-01,20.8
2013-02,20.8
2013-03,20.5
2013-04,21.1
2013-05,21.4
2013-06,19.9
2013-07,22.3
2013-08,20.5
2013-09,18.7
2013-10,21.2
2013-11,21.1
2013-12,21.0
2014-01,20.4
2014-02,20.7
2014-03,20.5
2014-04,21.0
2014-05,19.8
2014-06,19.9
2014-07,22.2
2014-08,19.7
2014-09,19.5
2014-10,21.0
2014-11,20.3
2014-12,21.6
2015-01,20.4
2015-02,20.9
2015-03,20.7
2015-04,21.1
2015-05,19.0
2015-06,21.6
2015-07,22.2
2015-08,19.9
2015-09,19.9
2015-10,20.8
2015-11,20.8
2015-12,21.5
2016-01,20.2
2016-02,20.5
2016-03,20.2
2016-04,20.9
2016-05,20.3
2016-06,20.7
2016-07,20.7
2016-08,20.8
2016-09,18.9
2016-10,20.0
2016-11,21.4
2016-12,21.4
2017-01,20.2
2017-02,20.0
2017-03,20.7
2017-04,19.4
2017-05,19.5
2017-06,20.7
2017-07,20.6
2017-08,20.7
2017-09,20.7
2017-10,17.0
2017-11,21.3
2017-12,19.8
2018-01,19.9
2018-02,20.0
2018-03,19.7
2018-04,20.4
2018-05,19.9
2018-06,19.2
2018-07,21.0
2018-08,20.5
2018-09,17.5
2018-10,20.3
2018-11,21.1
2018-12,19.6
2019-01,19.8
2019-02,20.1
2019-03,20.0
2019-04,20.3
2019-05,20.5
2019-06,19.0
2019-07,21.6
2019-08,19.8
2019-09,18.6
2019-10,20.2
2019-11,20.4
2019-12,20.2
2020-01,19.6
2020-02,19.8
2020-03,20.0
2020-04,19.6
2020-05,18.5
2020-06,20.6
2020-07,21.3
2020-08,18.9
2020-09,19.9
2020-10,18.4
2020-11,20.0
2020-12,20.5
2021-01,19.6
2021-02,19.9
2021-03,19.6
2021-04,20.2
2021-05,18.6
2021-06,20.8
2021-07,20.7
2021-08,19.6
2021-09,18.4
2021-10,18.6
2021-11,20.8
2021-12,21.3
2022-01,19.3
2022-02,19.8
2022-03,19.7
2022-04,20.0
2022-05,20.0
2022-06,19.3
2022-07,19.9
2022-08,20.1
2022-09,19.0
2022-10,18.6
2022-11,20.7
2022-12,20.6
2023-01,19.4
2023-02,19.3
2023-03,19.3
2023-04,19.2
2023-05,19.2
2023-06,19.8
2023-07,19.7
2023-08,20.0
2023-09,18.3
2023-10,18.2
2023-11,20.5
2023-12,18.9
2024-01,19.1
2024-02,19.3
2024-03,19.2
2024-04,19.4
2024-05,19.0
2024-06,18.3
2024-07,21.1
2024-08,19.4
2024-09,17.3
2024-10,18.9
2024-11,19.8
2024-12,19.6
2025-01,18.7
2025-02,19.0
2025-03,20.1
2025-04,20.6
2025-05,18.2
2025-06,18.3
2025-07,21.0
2025-08,18.7
2025-09,20.5
2025-10,17.2
2025-11,19.0
