date,소비자물가등락률
1966-01,11.3
1966-02,11.3
1966-03,11.3
1966-04,11.3
1966-05,11.3
1966-06,11.3
1966-07,11.3
1966-08,11.3
1966-09,11.3
1966-10,11.3
1966-11,11.3
1966-12,11.3
1967-01,10.9
1967-02,10.9
1967-03,10.9
1967-04,10.9
1967-05,10.9
1967-06,10.9
1967-07,10.9
1967-08,10.9
1967-09,10.9
1967-10,10.9
1967-11,10.9
1967-12,10.9
1968-01,10.8
1968-02,10.8
1968-03,10.8
1968-04,10.8
1968-05,10.8
1968-06,10.8
1968-07,10.8
1968-08,10.8
1968-09,10.8
1968-10,10.8
1968-11,10.8
1968-12,10.8
1969-01,12.4
1969-02,12.4
1969-03,12.4
1969-04,12.4
1969-05,12.4
1969-06,12.4
1969-07,12.4
1969-08,12.4
1969-09,12.4
1969-10,12.4
1969-11,12.4
1969-12,12.4
1970-01,16
1970-02,16
1970-03,16
1970-04,16
1970-05,16
1970-06,16
1970-07,16
1970-08,16
1970-09,16
1970-10,16
1970-11,16
1970-12,16
1971-01,13.5
1971-02,13.5
1971-03,13.5
1971-04,13.5
1971-05,13.5
1971-06,13.5
1971-07,13.5
1971-08,13.5
1971-09,13.5
1971-10,13.5
1971-11,13.5
1971-12,13.5
1972-01,11.7
1972-02,11.7
1972-03,11.7
1972-04,11.7
1972-05,11.7
1972-06,11.7
1972-07,11.7
1972-08,11.7
1972-09,11.7
1972-10,11.7
1972-11,11.7
1972-12,11.7
1973-01,3.2
1973-02,3.2
1973-03,3.2
1973-04,3.2
1973-05,3.2
1973-06,3.2
1973-07,3.2
1973-08,3.2
1973-09,3.2
1973-10,3.2
1973-11,3.2
1973-12,3.2
1974-01,24.3
1974-02,24.3
1974-03,24.3
1974-04,24.3
1974-05,24.3
1974-06,24.3
1974-07,24.3
1974-08,24.3
1974-09,24.3
1974-10,24.3
1974-11,24.3
1974-12,24.3
1975-01,25.2
1975-02,25.2
1975-03,25.2
1975-04,25.2
1975-05,25.2
1975-06,25.2
1975-07,25.2
1975-08,25.2
1975-09,25.2
1975-10,25.2
1975-11,25.2
1975-12,25.2
1976-01,15.3
1976-02,15.3
1976-03,15.3
1976-04,15.3
1976-05,15.3
1976-06,15.3
1976-07,15.3
1976-08,15.3
1976-09,15.3
1976-10,15.3
1976-11,15.3
1976-12,15.3
1977-01,10.1
1977-02,10.1
1977-03,10.1
1977-04,10.1
1977-05,10.1
1977-06,10.1
1977-07,10.1
1977-08,10.1
1977-09,10.1
1977-10,10.1
1977-11,10.1
1977-12,10.1
1978-01,14.5
1978-02,14.5
1978-03,14.5
1978-04,14.5
1978-05,14.5
1978-06,14.5
1978-07,14.5
1978-08,14.5
1978-09,14.5
1978-10,14.5
1978-11,14.5
1978-12,14.5
1979-01,18.3
1979-02,18.3
1979-03,18.3
1979-04,18.3
1979-05,18.3
1979-06,18.3
1979-07,18.3
1979-08,18.3
1979-09,18.3
1979-10,18.3
1979-11,18.3
1979-12,18.3
1980-01,28.7
1980-02,28.7
1980-03,28.7
1980-04,28.7
1980-05,28.7
1980-06,28.7
1980-07,28.7
1980-08,28.7
1980-09,28.7
1980-10,28.7
1980-11,28.7
1980-12,28.7
1981-01,21.4
1981-02,21.4
1981-03,21.4
1981-04,21.4
1981-05,21.4
1981-06,21.4
1981-07,21.4
1981-08,21.4
1981-09,21.4
1981-10,21.4
1981-11,21.4
1981-12,21.4
1982-01,7.2
1982-02,7.2
1982-03,7.2
1982-04,7.2
1982-05,7.2
1982-06,7.2
1982-07,7.2
1982-08,7.2
1982-09,7.2
1982-10,7.2
1982-11,7.2
1982-12,7.2
1983-01,3.4
1983-02,3.4
1983-03,3.4
1983-04,3.4
1983-05,3.4
1983-06,3.4
1983-07,3.4
1983-08,3.4
1983-09,3.4
1983-10,3.4
1983-11,3.4
1983-12,3.4
1984-01,2.3
1984-02,2.3
1984-03,2.3
1984-04,2.3
1984-05,2.3
1984-06,2.3
1984-07,2.3
1984-08,2.3
1984-09,2.3
1984-10,2.3
1984-11,2.3
1984-12,2.3
1985-01,2.5
1985-02,2.5
1985-03,2.5
1985-04,2.5
1985-05,2.5
1985-06,2.5
1985-07,2.5
1985-08,2.5
1985-09,2.5
1985-10,2.5
1985-11,2.5
1985-12,2.5
1986-01,2.8
1986-02,2.8
1986-03,2.8
1986-04,2.8
1986-05,2.8
1986-06,2.8
1986-07,2.8
1986-08,2.8
1986-09,2.8
1986-10,2.8
1986-11,2.8
1986-12,2.8
1987-01,3
1987-02,3
1987-03,3
1987-04,3
1987-05,3
1987-06,3
1987-07,3
1987-08,3
1987-09,3
1987-10,3
1987-11,3
1987-12,3
1988-01,7.1
1988-02,7.1
1988-03,7.1
1988-04,7.1
1988-05,7.1
1988-06,7.1
1988-07,7.1
1988-08,7.1
1988-09,7.1
1988-10,7.1
1988-11,7.1
1988-12,7.1
1989-01,5.7
1989-02,5.7
1989-03,5.7
1989-04,5.7
1989-05,5.7
1989-06,5.7
1989-07,5.7
1989-08,5.7
1989-09,5.7
1989-10,5.7
1989-11,5.7
1989-12,5.7
1990-01,8.6
1990-02,8.6
1990-03,8.6
1990-04,8.6
1990-05,8.6
1990-06,8.6
1990-07,8.6
1990-08,8.6
1990-09,8.6
1990-10,8.6
1990-11,8.6
1990-12,8.6
1991-01,9.3
1991-02,9.3
1991-03,9.3
1991-04,9.3
1991-05,9.3
1991-06,9.3
1991-07,9.3
1991-08,9.3
1991-09,9.3
1991-10,9.3
1991-11,9.3
1991-12,9.3
1992-01,6.2
1992-02,6.2
1992-03,6.2
1992-04,6.2
1992-05,6.2
1992-06,6.2
1992-07,6.2
1992-08,6.2
1992-09,6.2
1992-10,6.2
1992-11,6.2
1992-12,6.2
1993-01,4.8
1993-02,4.8
1993-03,4.8
1993-04,4.8
1993-05,4.8
1993-06,4.8
1993-07,4.8
1993-08,4.8
1993-09,4.8
1993-10,4.8
1993-11,4.8
1993-12,4.8
1994-01,6.3
1994-02,6.3
1994-03,6.3
1994-04,6.3
1994-05,6.3
1994-06,6.3
1994-07,6.3
1994-08,6.3
1994-09,6.3
1994-10,6.3
1994-11,6.3
1994-12,6.3
1995-01,4.5
1995-02,4.5
1995-03,4.5
1995-04,4.5
1995-05,4.5
1995-06,4.5
1995-07,4.5
1995-08,4.5
1995-09,4.5
1995-10,4.5
1995-11,4.5
1995-12,4.5
1996-01,4.9
1996-02,4.9
1996-03,4.9
1996-04,4.9
1996-05,4.9
1996-06,4.9
1996-07,4.9
1996-08,4.9
1996-09,4.9
1996-10,4.9
1996-11,4.9
1996-12,4.9
1997-01,4.4
1997-02,4.4
1997-03,4.4
1997-04,4.4
1997-05,4.4
1997-06,4.4
1997-07,4.4
1997-08,4.4
1997-09,4.4
1997-10,4.4
1997-11,4.4
1997-12,4.4
1998-01,7.5
1998-02,7.5
1998-03,7.5
1998-04,7.5
1998-05,7.5
1998-06,7.5
1998-07,7.5
1998-08,7.5
1998-09,7.5
1998-10,7.5
1998-11,7.5
1998-12,7.5
1999-01,0.8
1999-02,0.8
1999-03,0.8
1999-04,0.8
1999-05,0.8
1999-06,0.8
1999-07,0.8
1999-08,0.8
1999-09,0.8
1999-10,0.8
1999-11,0.8
1999-12,0.8
2000-01,2.3
2000-02,2.3
2000-03,2.3
2000-04,2.3
2000-05,2.3
2000-06,2.3
2000-07,2.3
2000-08,2.3
2000-09,2.3
2000-10,2.3
2000-11,2.3
2000-12,2.3
2001-01,4.1
2001-02,4.1
2001-03,4.1
2001-04,4.1
2001-05,4.1
2001-06,4.1
2001-07,4.1
2001-08,4.1
2001-09,4.1
2001-10,4.1
2001-11,4.1
2001-12,4.1
2002-01,2.8
2002-02,2.8
2002-03,2.8
2002-04,2.8
2002-05,2.8
2002-06,2.8
2002-07,2.8
2002-08,2.8
2002-09,2.8
2002-10,2.8
2002-11,2.8
2002-12,2.8
2003-01,3.5
2003-02,3.5
2003-03,3.5
2003-04,3.5
2003-05,3.5
2003-06,3.5
2003-07,3.5
2003-08,3.5
2003-09,3.5
2003-10,3.5
2003-11,3.5
2003-12,3.5
2004-01,3.6
2004-02,3.6
2004-03,3.6
2004-04,3.6
2004-05,3.6
2004-06,3.6
2004-07,3.6
2004-08,3.6
2004-09,3.6
2004-10,3.6
2004-11,3.6
2004-12,3.6
2005-01,2.8
2005-02,2.8
2005-03,2.8
2005-04,2.8
2005-05,2.8
2005-06,2.8
2005-07,2.8
2005-08,2.8
2005-09,2.8
2005-10,2.8
2005-11,2.8
2005-12,2.8
2006-01,2.2
2006-02,2.2
2006-03,2.2
2006-04,2.2
2006-05,2.2
2006-06,2.2
2006-07,2.2
2006-08,2.2
2006-09,2.2
2006-10,2.2
2006-11,2.2
2006-12,2.2
2007-01,2.5
2007-02,2.5
2007-03,2.5
2007-04,2.5
2007-05,2.5
2007-06,2.5
2007-07,2.5
2007-08,2.5
2007-09,2.5
2007-10,2.5
2007-11,2.5
2007-12,2.5
2008-01,4.7
2008-02,4.7
2008-03,4.7
2008-04,4.7
2008-05,4.7
2008-06,4.7
2008-07,4.7
2008-08,4.7
2008-09,4.7
2008-10,4.7
2008-11,4.7
2008-12,4.7
2009-01,2.8
2009-02,2.8
2009-03,2.8
2009-04,2.8
2009-05,2.8
2009-06,2.8
2009-07,2.8
2009-08,2.8
2009-09,2.8
2009-10,2.8
2009-11,2.8
2009-12,2.8
2010-01,2.9
2010-02,2.9
2010-03,2.9
2010-04,2.9
2010-05,2.9
2010-06,2.9
2010-07,2.9
2010-08,2.9
2010-09,2.9
2010-10,2.9
2010-11,2.9
2010-12,2.9
2011-01,4
2011-02,4
2011-03,4
2011-04,4
2011-05,4
2011-06,4
2011-07,4
2011-08,4
2011-09,4
2011-10,4
2011-11,4
2011-12,4
2012-01,2.2
2012-02,2.2
2012-03,2.2
2012-04,2.2
2012-05,2.2
2012-06,2.2
2012-07,2.2
2012-08,2.2
2012-09,2.2
2012-10,2.2
2012-11,2.2
2012-12,2.2
2013-01,1.3
2013-02,1.3
2013-03,1.3
2013-04,1.3
2013-05,1.3
2013-06,1.3
2013-07,1.3
2013-08,1.3
2013-09,1.3
2013-10,1.3
2013-11,1.3
2013-12,1.3
2014-01,1.3
2014-02,1.3
2014-03,1.3
2014-04,1.3
2014-05,1.3
2014-06,1.3
2014-07,1.3
2014-08,1.3
2014-09,1.3
2014-10,1.3
2014-11,1.3
2014-12,1.3
2015-01,0.7
2015-02,0.7
2015-03,0.7
2015-04,0.7
2015-05,0.7
2015-06,0.7
2015-07,0.7
2015-08,0.7
2015-09,0.7
2015-10,0.7
2015-11,0.7
2015-12,0.7
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1.9
2017-02,1.9
2017-03,1.9
2017-04,1.9
2017-05,1.9
2017-06,1.9
2017-07,1.9
2017-08,1.9
2017-09,1.9
2017-10,1.9
2017-11,1.9
2017-12,1.9
2018-01,1.5
2018-02,1.5
2018-03,1.5
2018-04,1.5
2018-05,1.5
2018-06,1.5
2018-07,1.5
2018-08,1.5
2018-09,1.5
2018-10,1.5
2018-11,1.5
2018-12,1.5
2019-01,0.4
2019-02,0.4
2019-03,0.4
2019-04,0.4
2019-05,0.4
2019-06,0.4
2019-07,0.4
2019-08,0.4
2019-09,0.4
2019-10,0.4
2019-11,0.4
2019-12,0.4
2020-01,0.5
2020-02,0.5
2020-03,0.5
2020-04,0.5
2020-05,0.5
2020-06,0.5
2020-07,0.5
2020-08,0.5
2020-09,0.5
2020-10,0.5
2020-11,0.5
2020-12,0.5
2021-01,2.5
2021-02,2.5
2021-03,2.5
2021-04,2.5
2021-05,2.5
2021-06,2.5
2021-07,2.5
2021-08,2.5
2021-09,2.5
2021-10,2.5
2021-11,2.5
2021-12,2.5
2022-01,5.1
2022-02,5.1
2022-03,5.1
2022-04,5.1
2022-05,5.1
2022-06,5.1
2022-07,5.1
2022-08,5.1
2022-09,5.1
2022-10,5.1
2022-11,5.1
2022-12,5.1
2023-01,3.6
2023-02,3.6
2023-03,3.6
2023-04,3.6
2023-05,3.6
2023-06,3.6
2023-07,3.6
2023-08,3.6
2023-09,3.6
2023-10,3.6
2023-11,3.6
2023-12,3.6
2024-01,2.3
2024-02,2.3
2024-03,2.3
2024-04,2.3
2024-05,2.3
2024-06,2.3
2024-07,2.3
2024-08,2.3
2024-09,2.3
2024-10,2.3
2024-11,2.3
2024-12,2.3
2025-01,2.1
2025-02,2.1
2025-03,2.1
2025-04,2.1
2025-05,2.1
2025-06,2.1
2025-07,2.1
2025-08,2.1
2025-09,2.1
2025-10,2.1
2025-11,2.1
2025-12,2.1
