date,전체임금총액,전체근로일수,전체근로시간
2020-01,4091969.0,19.3,157.6
2020-02,3403361.0,19.3,157.1
2020-03,3473131.0,20.7,168.6
2020-04,3358565.0,19.2,156.7
2020-05,3287099.0,18.5,150.2
2020-06,3351376.0,20.6,167.4
2020-07,3526470.0,21.3,173.1
2020-08,3378692.0,18.9,153.9
2020-09,3815583.0,19.9,162.2
2020-10,3333568.0,18.4,150.5
2020-11,3297755.0,20.0,162.8
2020-12,4003680.0,20.5,166.8
2021-01,3877199.0,19.3,157.3
2021-02,3950181.0,17.5,142.8
2021-03,3605594.0,20.8,168.7
2021-04,3485974.0,20.8,169.0
2021-05,3418087.0,18.6,151.9
2021-06,3492441.0,20.8,168.9
2021-07,3769134.0,20.7,168.3
2021-08,3521416.0,19.6,159.2
2021-09,3961463.0,18.4,149.4
2021-10,3455238.0,18.6,151.4
2021-11,3429543.0,20.8,168.6
2021-12,4304510.0,21.3,172.4
2022-01,4721940.0,19.3,156.7
2022-02,3694897.0,17.4,141.4
2022-03,3836748.0,19.8,160.4
2022-04,3579506.0,20.0,162.3
2022-05,3591704.0,20.0,161.8
2022-06,3662766.0,19.3,156.7
2022-07,3919370.0,19.9,161.7
2022-08,3701953.0,20.1,162.9
2022-09,4084630.0,19.0,154.4
2022-10,3631459.0,18.6,151.0
2022-11,3584826.0,20.7,167.9
2022-12,4433753.0,20.6,166.6
2023-01,4694110.0,19.0,153.8
2023-02,3900997.0,18.9,152.9
2023-03,3897187.0,20.6,166.1
2023-04,3705514.0,19.2,154.6
2023-05,3703213.0,19.2,154.7
2023-06,3736876.0,19.8,159.3
2023-07,3962662.0,19.7,158.9
2023-08,3742315.0,20.0,161.1
2023-09,4315697.0,18.3,148.0
2023-10,3792170.0,18.2,146.9
2023-11,3714378.0,20.5,165.6
2023-12,4433074.0,18.9,152.8
2024-01,4289054.0,20.5,165.0
2024-02,4351268.0,18.0,145.6
2024-03,4010308.0,19.1,153.9
2024-04,3865957.0,19.8,159.4
2024-05,3822581.0,19.0,153.3
2024-06,3861035.0,18.3,147.5
2024-07,4257103.0,21.1,169.1
2024-08,3870153.0,19.4,155.7
2024-09,4301017.0,17.3,139.5
2024-10,3922038.0,18.9,152.3
2024-11,3799813.0,19.8,159.3
2024-12,4608246.0,19.6,157.8
2025-01,4966556.0,17.4,140.6
2025-02,4117239.0,18.8,152.0
2025-03,4136416.0,19.0,153.3
2025-04,3970758.0,20.6,165.5
2025-05,3916394.0,18.2,147.0
2025-06,3971067.0,18.3,147.2
2025-07,4212520.0,21.0,168.9
2025-08,3937367.0,18.7,150.5
2025-09,4332116.0,20.5,164.9
2025-10,4202717.0,17.2,138.9
2025-11,3954629.0,19.0,153.2
