date,중위연령,평균연령
2015-01,41.1,40.4
2015-02,41.1,40.4
2015-03,41.1,40.4
2015-04,41.1,40.4
2015-05,41.1,40.4
2015-06,41.1,40.4
2015-07,41.1,40.4
2015-08,41.1,40.4
2015-09,41.1,40.4
2015-10,41.1,40.4
2015-11,41.1,40.4
2015-12,41.1,40.4
2016-01,41.6,40.8
2016-02,41.6,40.8
2016-03,41.6,40.8
2016-04,41.6,40.8
2016-05,41.6,40.8
2016-06,41.6,40.8
2016-07,41.6,40.8
2016-08,41.6,40.8
2016-09,41.6,40.8
2016-10,41.6,40.8
2016-11,41.6,40.8
2016-12,41.6,40.8
2017-01,42.2,41.3
2017-02,42.2,41.3
2017-03,42.2,41.3
2017-04,42.2,41.3
2017-05,42.2,41.3
2017-06,42.2,41.3
2017-07,42.2,41.3
2017-08,42.2,41.3
2017-09,42.2,41.3
2017-10,42.2,41.3
2017-11,42.2,41.3
2017-12,42.2,41.3
2018-01,42.7,41.8
2018-02,42.7,41.8
2018-03,42.7,41.8
2018-04,42.7,41.8
2018-05,42.7,41.8
2018-06,42.7,41.8
2018-07,42.7,41.8
2018-08,42.7,41.8
2018-09,42.7,41.8
2018-10,42.7,41.8
2018-11,42.7,41.8
2018-12,42.7,41.8
2019-01,43.3,42.4
2019-02,43.3,42.4
2019-03,43.3,42.4
2019-04,43.3,42.4
2019-05,43.3,42.4
2019-06,43.3,42.4
2019-07,43.3,42.4
2019-08,43.3,42.4
2019-09,43.3,42.4
2019-10,43.3,42.4
2019-11,43.3,42.4
2019-12,43.3,42.4
2020-01,43.9,42.9
2020-02,43.9,42.9
2020-03,43.9,42.9
2020-04,43.9,42.9
2020-05,43.9,42.9
2020-06,43.9,42.9
2020-07,43.9,42.9
2020-08,43.9,42.9
2020-09,43.9,42.9
2020-10,43.9,42.9
2020-11,43.9,42.9
2020-12,43.9,42.9
2021-01,44.5,43.5
2021-02,44.5,43.5
2021-03,44.5,43.5
2021-04,44.5,43.5
2021-05,44.5,43.5
2021-06,44.5,43.5
2021-07,44.5,43.5
2021-08,44.5,43.5
2021-09,44.5,43.5
2021-10,44.5,43.5
2021-11,44.5,43.5
2021-12,44.5,43.5
2022-01,45.1,44.0
2022-02,45.1,44.0
2022-03,45.1,44.0
2022-04,45.1,44.0
2022-05,45.1,44.0
2022-06,45.1,44.0
2022-07,45.1,44.0
2022-08,45.1,44.0
2022-09,45.1,44.0
2022-10,45.1,44.0
2022-11,45.1,44.0
2022-12,45.1,44.0
2023-01,45.7,44.6
2023-02,45.7,44.6
2023-03,45.7,44.6
2023-04,45.7,44.6
2023-05,45.7,44.6
2023-06,45.7,44.6
2023-07,45.7,44.6
2023-08,45.7,44.6
2023-09,45.7,44.6
2023-10,45.7,44.6
2023-11,45.7,44.6
2023-12,45.7,44.6
2024-01,46.2,45.1
2024-02,46.2,45.1
2024-03,46.2,45.1
2024-04,46.2,45.1
2024-05,46.2,45.1
2024-06,46.2,45.1
2024-07,46.2,45.1
2024-08,46.2,45.1
2024-09,46.2,45.1
2024-10,46.2,45.1
2024-11,46.2,45.1
2024-12,46.2,45.1
